Episode,Reward,Steps
213,-71.7166869719381,200
214,-60.7364449610207,200
215,-55.3744208019785,200
216,-68.2690258827302,200
217,-100.468132015342,200
218,-50.5739016252062,200
219,-47.9460682668869,200
220,23.952887330535,200
221,-32.5497205429056,200
222,-80.0285287082608,200
223,134.150502147296,189
224,59.7734799864542,166
225,-54.8109767192339,200
226,-80.3454347872429,200
227,-90.4351074544846,200
228,-86.6508054686692,200
229,-98.1931564944053,200
230,-125.137513276962,200
231,-37.6887938380393,145
232,-70.2227701515051,200
233,-140.312830696952,200
234,-78.2314092884826,200
235,-152.307509835791,200
236,-160.075027880506,200
237,-157.578926195152,200
238,-166.849506206354,200
239,-165.939059117669,200
240,-166.174918151041,200
241,-160.23715586322,200
242,-120.697955331884,200
243,-145.741583174211,200
244,-141.241170443924,200
245,-106.476693322055,200
246,-117.471976836711,200
247,-61.9205075214714,200
248,-111.584122051363,200
249,-53.5977425982515,200
250,-65.5431756814251,200
251,-56.0489978216656,200
252,-16.2422174303633,200
253,-17.5767478966663,200
254,-23.1475572218552,200
255,-17.2956547251618,200
256,-21.1634107013932,200
257,5.52235441468043,200
258,39.3092390795668,200
259,31.458181688839,200
260,14.2411384318391,200
261,30.5950328456281,200
262,43.9414366322662,200
263,50.2729783653428,200
264,50.1056954103061,200
265,40.6872432567256,200
266,35.5861524256998,200
267,33.5251599050181,200
268,47.9330182778339,200
269,51.3256088727013,200
270,46.2505269440454,200
271,42.3996507807855,200
272,46.0939098724121,200
273,45.2960134096827,200
274,55.7139896827614,200
275,53.0955528326368,200
276,54.9315051655082,200
277,49.7813735971404,200
278,51.4068969249663,200
279,49.3707937384517,200
280,53.3611371264785,200
281,50.1655808368858,200
282,69.5081843091934,200
283,71.991097888173,200
284,78.1225831529462,200
285,91.5988120570566,200
286,101.70772740634,200
287,106.434486530581,200
288,107.048718642195,200
289,157.163029430682,200
290,106.663645213314,200
291,111.029908240565,200
292,137.263237854072,200
293,119.057037169153,200
294,144.34788552596,200
295,179.232645791277,200
296,389.030925110014,200
297,324.804399819357,200
298,440.605894042565,200
299,348.629268175913,200
300,385.261107851669,200
301,245.696244277961,200
302,234.723784504871,200
303,374.150984741362,200
304,208.268710870634,200
305,115.224505661766,200
306,162.257990758717,200
307,111.075954033179,200
308,112.852530046769,200
309,137.990527963025,200
310,104.04622646002,200
311,103.985238438697,200
312,97.4467644469141,200
313,226.662024296408,200
314,101.082760974443,200
315,205.01035857886,200
316,74.5434472755658,200
317,79.8680310931066,200
318,154.275741704205,200
319,80.8476151740404,200
320,240.7089478097,200
321,290.491905550762,200
322,313.214762648783,200
323,67.5140258772943,200
324,106.232903140374,200
325,73.3716474707385,200
326,71.1786094087932,200
327,60.6938951725889,200
328,66.6282169991683,200
329,64.2213844000668,200
330,67.8206012711994,200
331,81.5939118968989,200
332,87.0535291615517,200
333,112.981069826885,200
334,94.160917481588,200
335,115.124949594643,200
336,588.651491547029,200
337,484.990692557955,200
338,395.939819517088,200
339,585.156473486113,200
340,334.078163637247,200
341,450.364070383158,200
342,559.189383796082,200
343,204.980604673581,200
344,607.363161569459,200
345,327.841325561767,200
346,464.3182450843,200
347,592.999115435175,200
348,274.699146292354,200
349,704.062556496364,200
350,719.7161503143,200
